,supplier_id,supplier_name
0,ARM Holdings,安謀控股
1,AXElite,亞瑟萊特
2,Advanced Analog Technology,台灣類比科技
3,Airgain,Airgain
4,Akoustis,Akoustis
5,AnDAPT,AnDAPT
6,Analogix,矽谷數模半導體公司
7,Artilux,光程研創
8,Astera Labs,Astera Labs
9,Avalanche Technology,Avalanche Technology
10,BARAJA,BARAJA
11,Boréas Technologies,博亞斯科技
12,CCP Contact Probes,中國探針
13,CXMT,長鑫存儲技術有限公司
14,Canyon Semiconductor,耕源科技
15,Celeno,Celeno
16,ChargeEdge,ChargeEdge
17,Cimetrix,美商矽美科國際股份有限公司
18,Credo,默升科技
19,Cyberlink,訊連科技
20,Dexerials Taiwan Corporation,台灣迪睿合股份有限公司
21,ELATEC,ELATEC
22,Eleven Engineering Inc.,Eleven Engineering Inc.
23,FRAMOS,FRAMOS
24,FocalTech,敦泰電子股份有限公司
25,GCT,GCT
26,GP,金山電池國際有限公司
27,GRAID Technology Inc.,圖睿科技有限公司
28,GigaDevice,北京兆易創新科技股份有限公司
29,HKE,匯港繼電器
30,Hannstar,瀚宇彩晶
31,Impinj,Impinj
32,Injoinic,英集芯科技
33,Innolux,群創光電股份有限公司
34,Innoviz,Innoviz
35,KEC,台灣開益喜股份有限公司
36,Kinetic Technologies,芯凱電子
37,Kingston Technology,金士頓
38,Knowles,樓氏電子有限公司
39,LG Chem,樂金化學
40,LG Innotek,樂金依諾特
41,LUXSHARE ICT,立訊精密
42,Lattice,美商萊迪思半導體股份有限公司
43,Leahkinn,力勤科技有限公司
44,Libre Wireless Technologies,Libre Wireless Technologies
45,Littelfuse,利特電子有限公司
46,Longsys,江波龍電子股份有限公司
47,Luxtera,Luxtera
48,Marvell,美滿電子科技
49,MegaChips,MegaChips
50,Melexis,Melexis
51,MinebeaMitsumi,MinebeaMitsumi
52,Monolithic Power Systems,芯源系統有限公司
53,Morita-Tech,Morita-Tech
54,NVIDIA,香港商輝達香港控股有限公司台灣分公司
55,NextInput,NextInput
56,"Nippon Ceramic Co., LTD. (Nicera)","Nippon Ceramic Co., LTD. (Nicera)"
57,Orientalsemi,蘇州東微半導體有限公司
58,Pakal Technologies,Pakal Technologies
59,Pixelworks,鼎雲科技股份有限公司
60,Power Integrations,荷蘭商包爾英特
61,Prophesee,Prophesee
62,Qualcomm (Summit),高通國際股份有限公司
63,QuickLogic,QuickLogic
64,ROHM,羅姆半導體股份有限公司
65,Renesas,瑞薩電子
66,Rohde & Schwarz,羅德史瓦茲
67,SMK,SMK
68,SSI,奥音科技
69,STMicroelectronics,意法半導體
70,ScaleFlux,銳開（北京）科技有限公司
71,Sentons,香港商顯通香港科技有限公司
72,Silanna,Silanna
73,Silicon Labs,芯科科技
74,Sinopower,大中積體電路
75,Skyworks,美商思佳訊半導體有限公司
76,Smart IOPS,Smart IOPS
77,Solomon,晶門科技
78,Sonion,丹麥聲揚
79,Sony Semiconductor,Sony Semiconductor
80,Summit Wireless,Summit Wireless
81,"Super Micro Computer, Inc",美超微電腦股份有限公司
82,Superior Sensor Technology,Superior Sensor Technology
83,Synaptics,香港商新思國際科技有限公司
84,TDK InvenSense,應美盛股份有限公司
85,Tangio,Tangio
86,Taoglas,銳鋒股份有限公司
87,Tempo,Tempo
88,Teradici,Teradici
89,Terminus,湯銘科技股份有限公司
90,Thales,Thales
91,Torex Semiconductor,特瑞仕半導體
92,USI,環旭電子股份有限公司
93,Union Semiconductor,英聯電子科技有限公司
94,UnitedSiC,聯合碳化矽股份有限公司
95,Valencell,Valencell
96,Western Digital (SanDisk),Western Digital (SanDisk)
97,Wise Integration,法商懷智整合股份有限公司
98,Xilinx,Xilinx
99,ams OSRAM,艾邁斯歐司朗半導體國際股份有限公司
100,poLight,poLight
101,xMEMS Labs,xMEMS Labs
