company_id,company_name
Advanced Analog Technology,台灣類比科技
Airgain,Airgain
Akoustis,Akoustis
ams OSRAM,艾邁斯歐司朗半導體國際股份有限公司
Analogix,矽谷數模半導體公司
AnDAPT,AnDAPT
ARM Holdings,安謀控股
Artilux,光程研創
Astera Labs,Astera Labs
Avalanche Technology,Avalanche Technology
AXElite,亞瑟萊特
BARAJA,BARAJA
Boréas Technologies,博亞斯科技
Canyon Semiconductor,耕源科技
CCP Contact Probes,中國探針
Celeno,Celeno
ChargeEdge,ChargeEdge
Cimetrix,美商矽美科國際股份有限公司
Credo,默升科技
CXMT,長鑫存儲技術有限公司
Cyberlink,訊連科技
Dexerials Taiwan Corporation,台灣迪睿合股份有限公司
ELATEC,ELATEC
Eleven Engineering Inc.,Eleven Engineering Inc.
Elevoc,大象聲科
Enovix,Enovix
FocalTech,敦泰電子股份有限公司
FRAMOS ,FRAMOS 
GCT,GCT
GigaDevice,北京兆易創新科技股份有限公司
GP,金山電池國際有限公司
GRAID Technology Inc.,圖睿科技有限公司
Hannstar,瀚宇彩晶
HKE,匯港繼電器
Impinj,Impinj
Injoinic,英集芯科技
Innolux,群創光電股份有限公司
Innoviz,Innoviz
ITE Tech. Inc.,聯陽半導體股份有限公司
KEC,台灣開益喜股份有限公司
Kinetic Technologies,芯凱電子
Kingston Technology,金士頓
Knowles,樓氏電子有限公司
Lattice,美商萊迪思半導體股份有限公司
Leahkinn,力勤科技有限公司
LG Chem,樂金化學
LG Innotek,樂金依諾特
Libre Wireless Technologies,Libre Wireless Technologies
Littelfuse,利特電子有限公司
Longsys,江波龍電子股份有限公司
LUXSHARE ICT,立訊精密
Luxtera,Luxtera
Marvell,美滿電子科技
MegaChips,MegaChips
Melexis,Melexis
MinebeaMitsumi,MinebeaMitsumi
Monolithic Power Systems,芯源系統有限公司
Morita-Tech,Morita-Tech
NextInput,NextInput
"Nippon Ceramic Co., LTD. (Nicera)","Nippon Ceramic Co., LTD. (Nicera)"
NVIDIA,香港商輝達香港控股有限公司台灣分公司
Orientalsemi,蘇州東微半導體有限公司
Pakal Technologies,Pakal Technologies
Pixelworks,鼎雲科技股份有限公司
poLight,poLight
Power Integrations,荷蘭商包爾英特
Prophesee,Prophesee
Qualcomm (Summit),高通國際股份有限公司
QuickLogic,QuickLogic
Renesas,瑞薩電子
Rohde & Schwarz,羅德史瓦茲
ROHM,羅姆半導體股份有限公司
ScaleFlux,銳開（北京）科技有限公司
Sentons,香港商顯通香港科技有限公司
Silanna,Silanna
Silicon Labs,芯科科技
Sinopower,大中積體電路
Skyworks,美商思佳訊半導體有限公司
Smart IOPS,Smart IOPS
SMK,SMK
Solomon,晶門科技
Sonion,丹麥聲揚
Sony Semiconductor,Sony Semiconductor
SSI,奥音科技
STMicroelectronics,意法半導體
Summit Wireless,Summit Wireless
"Super Micro Computer, Inc",美超微電腦股份有限公司
Superior Sensor Technology,Superior Sensor Technology
Synaptics,香港商新思國際科技有限公司
Tangio,Tangio
Taoglas,銳鋒股份有限公司
TDK InvenSense,應美盛股份有限公司
Tempo,Tempo
Teradici,Teradici
Terminus,湯銘科技股份有限公司
Thales,Thales
Torex Semiconductor,特瑞仕半導體
Union Semiconductor,英聯電子科技有限公司
UnitedSiC,聯合碳化矽股份有限公司
USI,環旭電子股份有限公司
Valencell,Valencell
Western Digital (SanDisk),Western Digital (SanDisk)
Wise-Integration,法商懷智整合股份有限公司
Xilinx,Xilinx
xMEMS Labs,xMEMS Labs
